YEAR,TERM,TERM_TEXT,CRN,SUB,NUM,SECT,SEQ,SECTION_TITLE,CREDITS,DAYS,TIMES,BLDG,ROOM,PROF,NOTES,MAX_ENROLL,DIST,INTERDISCIPLINARY_COURSE1,INTERDISCIPLINARY_COURSE2,INTERDISCIPLINARY_COURSE3,INTERDISCIPLINARY_COURSE4
2016,201601,Fall 2016,15332,BIO,209,0,1,REGISTER FOR CRN 15331,1,  T  R  ,1215-0130pm,LIB,B110,Heyer L,"R, XLST",0,MQRQ,CSC,DIG,,
2016,201601,Fall 2016,15332,BIO,209,0,1,REGISTER FOR CRN 15331,1,  T  R  ,1215-0130pm,LIB,B110,Heyer L,"R, XLST",0,MQRQ,CSC,DIG,,
2016,201601,Fall 2016,15332,BIO,209,0,1,REGISTER FOR CRN 15331,1,  T  R  ,1215-0130pm,LIB,B110,Heyer L,"R, XLST",0,MQRQ,CSC,DIG,,
2016,201601,Fall 2016,15332,BIO,209,0,1,REGISTER FOR CRN 15331,1,  T  R  ,1215-0130pm,LIB,B110,Heyer L,"R, XLST",0,MQRQ,CSC,DIG,,
2016,201601,Fall 2016,16063,BIO,233,0,1,Behavioral Ecology,1, M  W  F ,0930-1020am,CHAM,3068,Stanback M,PRQ,32,,GSS,,,
2016,201601,Fall 2016,16063,BIO,233,0,1,Behavioral Ecology,1, M  W  F ,0930-1020am,CHAM,3068,Stanback M,PRQ,32,,GSS,,,
2016,201601,Fall 2016,15545,BIO,240,A,1,Biostats for Life Scientists,1,  T  R  ,1215-0130pm,WALL,106,Peroni P,PRQ,16,MQRQ,ENV,,,
2016,201601,Fall 2016,15545,BIO,240,A,1,Biostats for Life Scientists,1,  T  R  ,1215-0130pm,WALL,106,Peroni P,PRQ,16,MQRQ,ENV,,,
2016,201601,Fall 2016,15714,BIO,240,B,1,Biostats for Life Scientists,1,  T  R  ,0140-0255pm,WALL,106,Peroni P,PRQ,16,MQRQ,ENV,,,
2016,201601,Fall 2016,15714,BIO,240,B,1,Biostats for Life Scientists,1,  T  R  ,0140-0255pm,WALL,106,Peroni P,PRQ,16,MQRQ,ENV,,,
2016,201601,Fall 2016,15886,BIO,257,0,1,Tree ID & Ecology: Dendrology,1,     F ,0130-0420pm,WATSON,243,Peroni P,PRQ,8,,ENV,,,
2016,201601,Fall 2016,15886,BIO,257,0,1,Tree ID & Ecology: Dendrology,1,     F ,0130-0420pm,WATSON,243,Peroni P,PRQ,8,,ENV,,,
2016,201601,Fall 2016,15883,BIO,261,A,1,Neuroscience of Exercise,1,  T  R  ,0815-0930am,WALL,243,Lom B,"23, R, PRQ",12,,,,,
2016,201601,Fall 2016,15884,BIO,261,B,1,Neuroscience of Exercise,1,  T  R  ,0940-1055am,WALL,243,Lom B,"23, R, PRQ",12,,,,,
2016,201601,Fall 2016,15885,BIO,267,0,1,Cases in Environmental Health,1,  T  R  ,0815-0930am,WALL,307,Bernd K,PRQ,12,,ENV,,,
2016,201601,Fall 2016,15885,BIO,267,0,1,Cases in Environmental Health,1,  T  R  ,0815-0930am,WALL,307,Bernd K,PRQ,12,,ENV,,,
2016,201601,Fall 2016,10113,BIO,303,A,1,Biochemistry,1,  T  R  ,1215-0130pm,WALL,320,Ward H,PRQ,16,,,,,
2016,201601,Fall 2016,10113,BIO,303,A,1,Biochemistry,1,  T  R  ,1215-0130pm,WALL,320,Ward H,PRQ,16,,,,,
2016,201601,Fall 2016,10113,BIO,303,A,2,Biochemistry,, M     ,0130-0420pm,DANA,256,Ward H,PRQ,16,,,,,
2016,201601,Fall 2016,10113,BIO,303,A,2,Biochemistry,, M     ,0130-0420pm,DANA,256,Ward H,PRQ,16,,,,,
2016,201601,Fall 2016,12246,BIO,303,B,1,Biochemistry,1,  T  R  ,1215-0130pm,WALL,320,Ward H,PRQ,16,,,,,
2016,201601,Fall 2016,12246,BIO,303,B,1,Biochemistry,1,  T  R  ,1215-0130pm,WALL,320,Ward H,PRQ,16,,,,,
2016,201601,Fall 2016,12246,BIO,303,B,2,Biochemistry,,  T    ,0140-0420pm,DANA,256,Ward H,PRQ,16,,,,,
2016,201601,Fall 2016,12246,BIO,303,B,2,Biochemistry,,  T    ,0140-0420pm,DANA,256,Ward H,PRQ,16,,,,,
2016,201601,Fall 2016,15155,BIO,307,A,1,Immunology,1, M  W  F ,1130-1220pm,WALL,210,Sarafova S,PRQ,16,,,,,
2016,201601,Fall 2016,15155,BIO,307,A,1,Immunology,1, M  W  F ,1130-1220pm,WALL,210,Sarafova S,PRQ,16,,,,,
2016,201601,Fall 2016,15155,BIO,307,A,2,Immunology,,   W   ,0130-0420pm,DANA,256,Sarafova S,PRQ,16,,,,,
2016,201601,Fall 2016,15155,BIO,307,A,2,Immunology,,   W   ,0130-0420pm,DANA,256,Sarafova S,PRQ,16,,,,,
2016,201601,Fall 2016,15160,BIO,307,B,1,Immunology,1, M  W  F ,1130-1220pm,WALL,210,Sarafova S,PRQ,16,,,,,
2016,201601,Fall 2016,15160,BIO,307,B,1,Immunology,1, M  W  F ,1130-1220pm,WALL,210,Sarafova S,PRQ,16,,,,,
2016,201601,Fall 2016,15160,BIO,307,B,2,Immunology,,    R  ,0140-0420pm,DANA,256,Sarafova S,PRQ,16,,,,,
2016,201601,Fall 2016,15160,BIO,307,B,2,Immunology,,    R  ,0140-0420pm,DANA,256,Sarafova S,PRQ,16,,,,,
2016,201601,Fall 2016,14444,BIO,311,A,1,Comparative Anatomy,1, M  W  F ,0830-0920am,CHAM,1003,Putnam J,PRQ,16,,,,,
2016,201601,Fall 2016,14444,BIO,311,A,1,Comparative Anatomy,1, M  W  F ,0830-0920am,CHAM,1003,Putnam J,PRQ,16,,,,,
2016,201601,Fall 2016,14444,BIO,311,A,2,Comparative Anatomy,, M     ,0130-0420pm,WATSON,109,Putnam J,PRQ,16,,,,,
2016,201601,Fall 2016,14444,BIO,311,A,2,Comparative Anatomy,, M     ,0130-0420pm,WATSON,109,Putnam J,PRQ,16,,,,,
2016,201601,Fall 2016,14446,BIO,311,B,1,Comparative Anatomy,1, M  W  F ,0830-0920am,CHAM,1003,Putnam J,PRQ,16,,,,,
2016,201601,Fall 2016,14446,BIO,311,B,1,Comparative Anatomy,1, M  W  F ,0830-0920am,CHAM,1003,Putnam J,PRQ,16,,,,,
2016,201601,Fall 2016,14446,BIO,311,B,2,Comparative Anatomy,,    R  ,0140-0420pm,WATSON,109,Putnam J,PRQ,16,,,,,
2016,201601,Fall 2016,14446,BIO,311,B,2,Comparative Anatomy,,    R  ,0140-0420pm,WATSON,109,Putnam J,PRQ,16,,,,,
2016,201601,Fall 2016,12866,BIO,321,A,1,Ecology,1, M  W  F ,1130-1220pm,WALL,243,Paradise C,PRQ,16,,ENV,,,
2016,201601,Fall 2016,12866,BIO,321,A,1,Ecology,1, M  W  F ,1130-1220pm,WALL,243,Paradise C,PRQ,16,,ENV,,,
2016,201601,Fall 2016,12866,BIO,321,A,1,Ecology,1, M  W  F ,1130-1220pm,WALL,243,Paradise C,PRQ,16,,ENV,,,
